profile	case	verdict	assertion	detail
frontier	00-capability-probe	PASS	the declared context window is read from the endpoint, not guessed	expected 200000, probe reported Some(200000)
frontier	00-capability-probe	PASS	tool calling matches the recorded matrix row	expected Supported, probed Supported
frontier	00-capability-probe	PASS	vision matches the recorded matrix row	expected Supported, probed Supported
frontier	00-capability-probe	PASS	structured output matches the recorded matrix row	expected Supported, probed Supported
frontier	00-capability-probe	PASS	every belief carries probe evidence, none is a default	8 findings recorded
frontier	00-capability-probe	PASS	no backend identity reaches the UI flag set	flag set = {"streaming":true,"vision":true,"toolCalls":true,"reasoning":true,"modelListing":true,"usageReporting":true,"promptCaching":false}
frontier	00-capability-probe	PASS	the vision affordance follows the probe exactly	descriptor.vision = true, probe = Supported
frontier	00-capability-probe	PASS	structured output is never advertised unless honoured (MEASURED-5)	honours_structured_output() = true
frontier	01-plain-chat	PASS	the turn produces an answer	226 characters
frontier	01-plain-chat	PASS	streamed and non-streamed answers are identical	streamed 226 chars / whole 226 chars
frontier	01-plain-chat	PASS	the deltas add up to the answer	delta sum 226 chars
frontier	01-plain-chat	PASS	no wire-format remnant reaches the answer	"Mock frontier reply to: what is the weather in Berlin. rudder gauge windward beacon meridian beacon sextant fathom windward harbor fathom ember umber rudder north pennant ivory orbit beacon meridian umber zenith pennant umber."
frontier	01-plain-chat	PASS	the turn does not hang (well inside the recorded 5003 ms consumer hang)	4.412211ms
frontier	02-tool-calling	PASS	exactly one executable native call comes back	OK id=call_f3fedcb8 name=get_weather emulated=false args={"city":"eastward"}
frontier	02-tool-calling	PASS	the call is named, parsed into an object, and not marked emulated	OK id=call_f3fedcb8 name=get_weather emulated=false args={"city":"eastward"}
frontier	02-tool-calling	PASS	the stop reason says a tool was requested	ToolUse
frontier	02-tool-calling	PASS	streamed: two parallel calls come back as two executable calls	OK id=call_a name=get_weather emulated=false args={"city":"berlin"}                                     OK id=call_b name=get_weather emulated=false args={"city":"paris"}
frontier	02-tool-calling	PASS	non-streamed: two parallel calls come back as two executable calls	OK id=call_a name=get_weather emulated=false args={"city":"berlin"}                                     OK id=call_b name=get_weather emulated=false args={"city":"paris"}
frontier	02-tool-calling	PASS	the streamed and non-streamed paths agree on the same answer	non-streamed 2 call(s), streamed 2 call(s)
frontier	02p-parallel-tool-calls	PASS	the endpoint really did answer with a BATCH — otherwise nothing below discriminates	expected 3 elements on the wire, saw Some(3)
frontier	02p-parallel-tool-calls	PASS	the non-streamed body carries NO `index` on any element (the FINDING 1 shape)	any_index=Some(false)
frontier	02p-parallel-tool-calls	PASS	the streamed frames DO carry `index` — the two shapes genuinely differ	20 element(s), all indexed=true
frontier	02p-parallel-tool-calls	PASS	non-streamed: every call in the batch is reported, none collapsed	3 reported, 3 expected
