id	step	verdict	assertion	detail
C1	unprobed floor	PASS	an unprobed model claims nothing and offers no capability-gated control	chip="Capabilities unknown" imageAffordances=0
C2	capability truth	PASS	the vision flag the UI branches on equals the endpoint's real vision support	report.vision=false endpoint=false
C3	vision	PASS	a model without vision has NO image affordance in the DOM	no image affordance in the DOM by name, test id or accept list
C4	context	PASS	the meter shows the endpoint's real window, and no other endpoint's	meter says: About 0 of 4K tokens
C5	context	PASS	the meter warns BEFORE the turn is sent, for a draft that will not fit	About 4,510 of 4K tokens — this turn is larger than the window. Sending it will drop the oldest messages, or the endpoint will refuse it. Shorten the message or switch to a model with more room.
C5b	context	PASS	the meter counts a staged text file and warns on it	About 4,510 of 4K tokens — this turn is larger than the window. Sending it will drop the oldest messages, or the endpoint will refuse it. Shorten the message or switch to a model with more room.
C6	streamed turn	PASS	the turn reaches a settled, readable state	settled
C7	reasoning	PASS	no reasoning markup reaches any visible text	no reasoning tags in visible text
C8	reasoning	PASS	the answer is not swallowed by the reasoning channel	answer=163 chars, reasoning=467 chars, reasoningVisible=true
C9	usage	PASS	token usage is shown only where the endpoint reported it	usage line present=false expected=false
C6b	streamed turn	PASS	everything the core produced for this turn reached the reader	the answer's opening reached the screen: "Mock hostile reply to:"
C10	reasoning	PASS	the thinking block toggles, and its hidden state follows aria-expanded	first expanded=true then=false hidden=true summary="Thinking (never closed)"
C22	reading surface	PASS	a long document from an endpoint with no answer channel still settles readably	settled
C26	reasoning	PASS	a settled thought is closed, unless closing it would hide the only text the turn produced	summary="Thinking (never closed)" expanded=true (unterminated=true)
C27	reasoning	PASS	the thinking block renders markdown instead of printing its source	leaked=[] strong=1 items=2 white-space=normal
C28	reasoning	PASS	nothing inside the aside sets larger than the answer it is about	scale=aside largest in aside=13px, answer body=15px
C29	layout	PASS	the transcript and the composer stand on one vertical ruler	text 720–1200 (480px), composer 720–1200 (480px)
C29b	layout	PASS	they stay on it when the window narrows	text 376–856 (480px), composer 376–856 (480px)
C30	layout	PASS	the sidebar gives way to the reading column as the window narrows	1440px → sidebar 480px, column 480px; 880px → sidebar 352px, column 480px
C31	layout	PASS	the transcript fades into a scroll edge that hides content, and only into one that does	atTop=false atBottom=false mask=linear-gradient(rgba(0, 0, 0, 0) 0px, rgb(0, 0, 0) 32px, rgb(0, 0, 0) calc(100% - 32px), r
C11	tool calls	PASS	a malformed tool call is VISIBLE, never silently dropped	cards=[unreadable,unreadable,unreadable,unreadable] saysItWasRefused=true text=2 TOOL CALLS · 2 COULD NOT BE READ get_weather Could not be read Vela could not read this call: the arguments were not valid JSON. It was not run. Show what arrived id call_28d56638 get_weather Could 
C12	tool calls	PASS	no reasoning markup in the tool turn either	no reasoning tags in visible text
C13	no credential	PASS	an endpoint with no API key is a working state, with no error and no warning	usable=true check=satisfiedWithoutCredential complaintOnScreen=false
C14	error state	PASS	a turn that could not run says so, in Vela's own words	Could not reach the endpoint Vela could not open a connection. http://127.0.0.1:42999/v1/chat/completions Try again
C15	error state	PASS	the failed turn is settled, not a stuck spinner	settled
C16	streaming	PASS	the transcript shows a partial turn while it is still streaming	answer=0 reasoning=118
C17	reasoning	PASS	no reasoning markup mid-stream, when a tag may be split across frames	no reasoning tags in visible text
C18	streaming	PASS	the turn is painted incrementally, not in one lump	27 paints, 27 growing, spread over 2017 ms
C19	console	PASS	zero console errors and zero uncaught exceptions	clean
C20	network	PASS	the browser never requested the model endpoint	none of 318 requests went to http://127.0.0.1:42999
C21	network	PASS	the browser never requested the slow endpoint either	none of 318 requests went to http://127.0.0.1:46823
